params,episode,cumulative_reward,mean_waiting_time,elapsed_time
reward_fn:diff_waitingTime,26,-13.0,5.525313724758383,26.717057466506958
reward_fn:diff_waitingTime,27,-221.0,4.868886464227659,24.508567094802856
reward_fn:diff_waitingTime,28,332.0,4.31829129195133,23.60744047164917
reward_fn:diff_waitingTime,29,-457.0,4.7918951154107745,24.469470024108887
reward_fn:diff_waitingTime,30,-1021.0,4.78813227508569,26.124825954437256
reward_fn:diff_waitingTime,31,1635.0,3.901839468159828,23.515279054641724
reward_fn:diff_waitingTime,32,23.0,4.154841571521014,24.1822292804718
reward_fn:diff_waitingTime,33,-216.0,3.8882022011538244,23.278996229171753
reward_fn:diff_waitingTime,34,170.0,3.4154541644196104,22.745357990264893
reward_fn:diff_waitingTime,35,-54.0,3.4673808249986955,23.08046555519104
